fips	low_birthweight_percentage	food_environment	physical_exercise_opportunities	teen_births	limited_healthy_access	stis	uninsured	primarycare_ratio	dentist_ratio	mentalhealth_ratio	otherproviders_ratio	HS_completion	some_college	disconnected_youth	unemployment	income_inequality	children_freelunches	single_parent_households	social_associations	water_violations	high_housing_costs	housing_overcrowding	segregation_black_white	segregation_nonwhite_white	homeownership	severe_ownership_cost	smoke_perc	obesity_perc	inactive_perc	drinking_perc	Food_Insecure_perc	preventable_hospitalization	mammogram_perc	flu_vaccine_perc	children_poverty_percent	median_income	Violent_crime	air_pollution	drive_alone_perc	long_commute_perc	traffic_volume
12099	0.0847482421322619	7.9	0.938079770689945	0.01685955708622	0.0465437350344738	0.0039989124154573	0.174462929155584	1262.7896996	1361.9990834	493.1765682	959.29051001	0.862532763139743	0.64100192928705	0.0602215007999503	0.0356345519313164	4.99077832512315	0.580750751522315	0.361258393918532	6.2196241035924e-4	1	0.1949638659	0.0302943088	53.585874286	43.297982467	0.686114597166081	0.197130103356024	0.16	0.21	0.23	0.15	0.13	4410	0.48	0.49	0.19	61735	452	5.9	0.78	0.36	586
12101	0.0824374820350676	7.6	0.863491694588086	0.0217802446294583	0.0825927580574009	0.00281559918043235	0.149488176391439	1706.6331169	2855.1851852	1263.7704918	1160.4946237	0.818304172274563	0.629889882065051	0.106372927939534	0.0383907441493558	4.43758960573477	0.583201462403143	0.333959052667412	5.6311983608646e-4	0	0.1340419806	0.0185429764	43.348249648	33.61497535	0.72006304366376	0.13302979875761	0.19	0.32	0.3	0.18	0.13	5246	0.42	0.43	0.17	53788	304	8.6	0.8	0.51	167
12103	0.0832093086185902	7.7	0.971931455405208	0.0204721186500297	0.0393656891882751	0.00431572256157554	0.143353989091779	1133.921729	1401.2643678	504.02067183	802.69958848	0.831515310816139	0.662747536067582	0.0710247741506401	0.0328046859777879	4.75266197437286	0.538951465471487	0.40830465236117	7.4178091294685e-4	0	0.165609753	0.0158825994	59.869683643	42.173948672	0.657350632787207	0.163959035006172	0.16	0.25	0.24	0.21	0.14	5096	0.4	0.44	0.16	52226	465	6.8	0.79	0.34	348
12105	0.0841653166559922	6.9	0.789197717968095	0.0300461757800586	0.128134527747282	0.00476049661827023	0.157572485367948	2043.1041667	3064.974026	1143.7948304	1284.9528131	0.780273578113751	0.516918360741831	0.100755590762294	0.0406883139922145	4.15025766205587	0.522234825908907	0.402453168619941	7.8661816825762e-4	1	0.1379349712	0.0355958038	39.934252262	33.221750283	0.685267664101012	0.140230739602834	0.19	0.37	0.29	0.17	0.14	7012	0.43	0.43	0.24	51354	341	8.3	0.82	0.38	197
12107	0.104395604395604	6	0.510408262062288	0.0460027442767386	0.133103224971761	0.00465534139170206	0.171680197158597	2295.75	3708.15	1648.0666667	1765.7857143	0.720567375886525	0.40788279528069504	0.112941176470588	0.0480865040410378	4.79753780275659	0.63744054563403	0.46389738915294	0.00106174452793205	1	0.1701408451	0.0210584142	42.740506887	36.826618994	0.730292952165299	0.150062384211123	0.24	0.39	0.37	0.16	0.19	7245	0.45	0.37	0.33	39578	537	8	0.81	0.44	81
12109	0.069639210347175	8.1	0.937339177747726	0.0100436681222707	0.0657137339598714	0.00286286154906239	0.106475983784448	1046.4034335	1869.5661765	836.38486842	1389.4043716	0.904028021015762	0.774074419472163	0.0431304634669306	0.0287393706649947	4.46646525679758	0.214978514426028	0.215293744549275	6.3983725165291e-4	0	0.1359646392	0.0097773952	51.486733554	32.826683605	0.784960819770946	0.119931747130277	0.15	0.23	0.21	0.22	0.11	3663	0.51	0.49	0.07	81925	225	8.4	0.81	0.45	77
12111	0.0869154017118267	6.8	0.777395793209954	0.0211361537672287	0.129667761052453	0.0037575038436266	0.169241977567687	2612.55	2610.796748	639.69721116	1225.6793893	0.914702953866578	0.543190729794581	0.0569445428146469	0.0437830826935885	4.20622956774428	0.642235054669381	0.353140834091204	5.6458249602878e-4	1	0.1875763556	0.0225194173	33.640585454000004	31.010861712	0.731944149124672	0.168503088111684	0.18	0.3	0.3	0.16	0.15	5951	0.42	0.42	0.19	53377	299	7	0.79	0.39	268
12113	0.0772610210574155	7.3	0.770558623787755	0.0229848776148527	0.114679464868007	0.00296662688211531	0.125145267962163	1405.4193548	3516.6470588	1645.4036697	1446.3629032	0.865439093484419	0.682115679009607	0.0725058004640371	0.0332035608897265	3.66004713275727	0.441435970709055	0.270492459628987	7.4596033786265e-4	0	0.1056613397	0.0210243041	34.55504296	22.224206044	0.754177194555384	0.0996072949946752	0.19	0.3	0.3	0.19	0.13	5310	0.42	0.39	0.12	69541	145	10.1	0.83	0.47	106
12115	0.0700747265798981	7.9	0.9222396744745	0.0175034320454991	0.0694650871766355	0.00274146483456966	0.163005884879401	1313.8526646	1380.9644013	578.20867209	950.37416481	0.858576642335767	0.597864515025375	0.0426618804362833	0.0336687265339984	4.36803266406952	0.53911969039959	0.336921366484738	9.01891825472e-4	1	0.1530668206	0.011875267	58.744200209	38.71489372	0.73785246273906	0.152963072579911	0.15	0.21	0.22	0.18	0.12	3013	0.51	0.5	0.17	61652	239	7.8	0.83	0.33	257
12117	0.0779176272664964	7.8	0.907870022095108	0.0125010426224039	0.0715626419551569	0.00392081424980385	0.10133157964498	1321.8828571	1682.8489209	639.98905609	1329.0681818	0.888214082368571	0.779050376010824	0.0441088722632763	0.0317366116696405	4.51819832909553	0.450294550810015	0.296526713977553	6.7652417871477e-4	0	0.1615825838	0.0133469897	33.844744237	23.325373632	0.651921053889925	0.156245555232612	0.16	0.27	0.2	0.18	0.12	4527	0.35	0.43	0.13	67187	357	7.7	0.82	0.42	355
